State/UT,2016,2017,2018,2019
"Andhra Pradesh",23613,16972,6040,2623
"Arunachal Pradesh",3128,1546,625,157
Assam,7826,5281,3816,1045
Bihar,5189,4020,1536,1302
Chhattisgarh,148220,140727,78717,48774
Goa,742,653,377,231
Gujarat,44783,38588,22114,11465
Haryana,7866,5696,3149,933
"Himachal Pradesh",106,96,98,105
"Jammu & Kashmir",242,226,168,92
Jharkhand,141414,94114,57095,31299
Karnataka,11078,7381,5721,2868
Kerala,1547,1192,908,562
"Madhya Pradesh",69106,47541,22279,11510
Maharashtra,23983,17710,10757,7178
Manipur,122,80,12,15
Meghalaya,35147,16454,6394,2058
Mizoram,7583,5715,4296,7625
Nagaland,828,394,113,19
Odisha,444843,347860,66311,33204
Punjab,693,805,624,1102
Rajasthan,12741,10607,5728,1488
Sikkim,15,14,6,3
"Tamil Nadu",4341,5444,3758,1592
Telangana,3512,2688,1792,1482
Tripura,10546,7051,13079,11063
"Uttar Pradesh",40700,32345,86486,86591
Uttrakhand,961,508,409,284
"West Bengal",35236,31265,26440,18528
"A & N Islands",485,505,259,188
Chandigarh,157,114,44,5
"D & N Haveli",375,290,221,51
"Daman & Diu",48,38,24,7
Delhi,31,577,473,617
Lakshadweep,2,1,5,5
Puducherry,76,60,54,20
Total,1087285,844558,429928,286091
